"adba8a4b-02d5-4a33-87c8-afaa56afb515","Complete aircraft",0.25,"Numbers / day"
"20267347-96b4-47c3-9cc0-4f3f58dba12c","Power (MW/hr)",21,"Numbers / day"
"fc0ba191-360c-4fd8-838f-98bc675f378d","mobile phone",50000,"Numbers / day"
"23b0ece7-d810-4f1b-8c8a-95976bbc4645","Farmed/processed fish",1.37,"TPD (Tons / day)"
"be1d7122-5f57-4628-afb3-84be1bf3a663","Rice",5000,"TPD (Tons / day)"
"fddb75df-67d1-476e-96b1-610e2ac7f28c","pre cast elements",25,"TPD (Tons / day)"
"ea458cf5-6300-43df-b90f-d3d2ef14a900","KATHA",70,"TPD (Tons / day)"
"805e0f2c-f0b7-475a-be8b-4d920c285b45","Rice",27,"TPD (Tons / day)"
"800acc49-1c26-4278-af8a-30bbdacd2a9f","rice bran",3,"TPD (Tons / day)"
"32f99a06-27f8-4fd1-8f64-9a0cbca1358e","Husk",7,"TPD (Tons / day)"
"a4d1dd8b-bc15-4cc1-841a-19fa16578ad4","Master Batches",4,"TPD (Tons / day)"
"f6582fd5-2f97-4d42-8f41-13bbe26f72b6","POLUTRY FEED",30,"TPD (Tons / day)"
"76deb36d-c523-46fc-99e8-84888ed4e800","pqr",2,"TPD (Tons / day)"
"fc8220a0-5c5c-4266-b29b-5d1c587426df","Peddy",40,"TPD (Tons / day)"
"7d93368c-a6d4-452f-a86d-71b92eb1f110","Chimney",140,"Numbers / day"
"e136acb4-5e0c-44c3-9ec4-a683e08298bf","Cook Tops",358,"Numbers / day"
"56bd80d6-8e5b-4266-98e2-8b3c61d80601","small appliances",236,"Numbers / day"
"590d715c-ebd8-4871-85a0-cffdf0fbe4d0",643,54,"TPD (Tons / day)"
"ecd9b899-e634-4080-9671-9006961e8f4e","Filter Paper",1,"TPD (Tons / day)"
"6eacc13a-4e4e-4bbc-baa1-c216b69eae4e","glycerine",3,"TPD (Tons / day)"
"79f5a3f4-05c9-41b5-987f-12a257ab83ea","tar",7,"TPD (Tons / day)"
"a2bf9384-43f7-4daf-b91e-9de01d68d801","biodiesel",100,"TPD (Tons / day)"
"e2230228-ecaf-45bb-a4b7-9bc40db67239","AUTO ACCESSORIES",11000,"TPD (Tons / day)"
"89d6561d-4588-4453-909e-39455215b02c","AUTO ACCESSORIES",5000,"Numbers / day"
"b1750e49-56be-434a-827b-5be155c2f3e4","Rice Mill",86800,"TPD (Tons / day)"
"e27f0a05-cb8c-4f8a-be45-20f99cc5d2e2","Filter Paper",1,"TPD (Tons / day)"
"44101485-c742-429b-a9bf-0c76195e5f6a","bright bar",9.75,"TPD (Tons / day)"
"87dc9acb-475f-4758-87cf-323b4e3cd042","FAN DOWN ROD",20000,"Numbers / day"
"9b340a00-29d5-4baf-af89-676703645fe0","FAN SHACKLE",30000,"Numbers / day"
"0fbbbd2a-3e91-4b29-909d-7886d0f131b9","FAN SHAFT",5000,"Numbers / day"
"206ff383-4745-46e5-ae13-92e912c8da74","FAN SHANK",30000,"Numbers / day"
"ce151d1a-c57b-4701-b3d9-9e2edb0871f3","Drawn Wire",24.5,"TPD (Tons / day)"
