"77948015-2c1d-4f37-a82e-65d21eee2006","Metal sheets and parts",100,"Numbers / day"
"474003ed-ce73-4f54-a669-84d9ecf16237","component",5000000,"Numbers / day"
"3ac2690a-96c4-48c2-aa4b-ad7c0421bc98","Municipal Solid Waste",1000,"TPD (Tons / day)"
"97010b42-cd35-456e-a020-1c292217c5e0","Electricity (in KWH)",9500,"Numbers / day"
"c6532e0c-6009-4643-a168-e6a08f752f52","Fish fry",1169,"Numbers / day"
"15106406-96f9-4e63-9238-72749fbdd76d","Fish feed",1.64,"TPD (Tons / day)"
"0653fa61-2be4-4ec5-96a1-aa031e0d63bd","Paddy",10000,"TPD (Tons / day)"
"26debdc3-07f6-4a4c-830c-df60614a6b56","cement sand steel",30,"TPD (Tons / day)"
"0bbbcc5a-25c3-4023-9cc5-f6c7a3eee0fd","KHAIRWOOD",75,"TPD (Tons / day)"
"29effd1b-ed1d-423c-acc6-bda0679ac2bd","peddy",40,"TPD (Tons / day)"
"876ab46f-8bb1-4990-b01e-7440b5d1d876","Pigments",1.2,"TPD (Tons / day)"
"ba541f72-89c4-4ecf-996e-bee8e558fa24","Polymers",2.8,"TPD (Tons / day)"
"adc4efd4-e500-4028-9735-5fd5f7bf99de","MAIZEE",18,"TPD (Tons / day)"
"3e807525-c961-4539-a52b-479894c30483","SOYA DOC",9,"TPD (Tons / day)"
"2af10cae-9bf6-4d1b-8834-ea3a13e346cf","DRB",1.5,"TPD (Tons / day)"
"f9124b48-db54-496d-8a5a-9297cc4aa119","MBM",0.9,"TPD (Tons / day)"
"dd290135-f6c9-420a-8d2f-d199f77e7b02","DCP",0.6,"TPD (Tons / day)"
"1d158aa1-f186-4b84-95c5-d3038809edc4","xyz",11,"TPD (Tons / day)"
"f3d20eb6-7d38-45cd-8298-ac1e9782607f","Rice",27,"TPD (Tons / day)"
"4e8201d6-94bc-4f6c-9c13-0e1f90f1a7ea","Rice Bran",3,"TPD (Tons / day)"
"037b3595-4e8b-4dc7-93de-ceaab1b284b8","Husk",7,"TPD (Tons / day)"
"47443d2d-a89f-4276-a676-6247a02a97e5","Brass Components",2474,"TPD (Tons / day)"
"1c40cce5-f803-4b75-80e2-d2208615f302","Stainless Steel",851,"TPD (Tons / day)"
"01ad2318-c81e-44c1-8adb-131c05fff736","GP Steel",261,"TPD (Tons / day)"
"67be0b69-98ef-47a6-bd73-2302e204053d","Electric Motors",395,"Numbers / day"
